0,0,0,0,0,0,1
0.01,0.0004,0,-0.025,0.0005,0.015,0
0.02,0.0008,0,-0.05,0.001,0.03,0
0.03,0.0012,0,-0.075,0.0015,0.045,0
0.04,0.0016,0,-0.1,0.002,0.06,0
0.05,0.002,0,-0.125,0.0025,0.075,0
0.06,0.0024,0,-0.15,0.003,0.09,0
0.07,0.0028,0,-0.175,0.0035,0.105,0
0.08,0.0032,0,-0.2,0.004,0.12,0
0.09,0.0036,0,-0.225,0.0045,0.135,0
0.1,0.004,0,-0.25,0.005,0.15,0
0.11,0.0044,0,-0.275,0.0055,0.165,0
0.12,0.0048,0,-0.3,0.006,0.18,0
0.13,0.0052,0,-0.325,0.0065,0.195,0
0.14,0.0056,0,-0.35,0.007,0.21,0
0.15,0.006,0,-0.375,0.0075,0.225,0
0.16,0.0064,0,-0.4,0.008,0.24,0
0.17,0.0068,0,-0.425,0.0085,0.255,0
0.18,0.0072,0,-0.45,0.009,0.27,0
0.19,0.0076,0,-0.475,0.0095,0.285,0
0.2,0.008,0,-0.5,0.01,0.3,0
0.21,0.0084,0,-0.525,0.0105,0.315,0
0.22,0.0088,0,-0.55,0.011,0.33,0
0.23,0.0092,0,-0.575,0.0115,0.345,0
0.24,0.0096,0,-0.6,0.012,0.36,0
0.25,0.01,0,-0.625,0.0125,0.375,0
0.26,0.0104,0,-0.65,0.013,0.39,0
0.27,0.0108,0,-0.675,0.0135,0.405,0
0.28,0.0112,0,-0.7,0.014,0.42,0
0.29,0.0116,0,-0.725,0.0145,0.435,0
0.3,0.012,0,-0.75,0.015,0.45,0
0.31,0.0124,0,-0.775,0.0155,0.465,0
0.32,0.0128,0,-0.8,0.016,0.48,0
0.33,0.0132,0,-0.825,0.0165,0.495,0
0.34,0.0136,0,-0.85,0.017,0.51,0
0.35,0.014,0,-0.875,0.0175,0.525,0
0.36,0.0144,0,-0.9,0.018,0.54,0
0.37,0.0148,0,-0.925,0.0185,0.555,0
0.38,0.0152,0,-0.95,0.019,0.57,0
0.39,0.0156,0,-0.975,0.0195,0.585,0
0.4,0.016,0,-1,0.02,0.6,0
0.41,0.0164,0,-1.025,0.0205,0.615,0
0.42,0.0168,0,-1.05,0.021,0.63,0
0.43,0.0172,0,-1.075,0.0215,0.645,0
0.44,0.0176,0,-1.1,0.022,0.66,0
0.45,0.018,0,-1.125,0.0225,0.675,0
0.46,0.0184,0,-1.15,0.023,0.69,0
0.47,0.0188,0,-1.175,0.0235,0.705,0
0.48,0.0192,0,-1.2,0.024,0.72,0
0.49,0.0196,0,-1.225,0.0245,0.735,0
0.5,0.02,0,-1.25,0.025,0.75,0
0.51,0.0204,0,-1.275,0.0255,0.765,0
0.52,0.0208,0,-1.3,0.026,0.78,0
0.53,0.0212,0,-1.325,0.0265,0.795,0
0.54,0.0216,0,-1.35,0.027,0.81,0
0.55,0.022,0,-1.375,0.0275,0.825,0
0.56,0.0224,0,-1.4,0.028,0.84,0
0.57,0.0228,0,-1.425,0.0285,0.855,0
0.58,0.0232,0,-1.45,0.029,0.87,0
0.59,0.0236,0,-1.475,0.0295,0.885,0
0.6,0.024,0,-1.5,0.03,0.9,0
0.61,0.0244,0,-1.525,0.0305,0.915,0
0.62,0.0248,0,-1.55,0.031,0.93,0
0.63,0.0252,0,-1.575,0.0315,0.945,0
0.64,0.0256,0,-1.6,0.032,0.96,0
0.65,0.026,0,-1.625,0.0325,0.975,0
0.66,0.0264,0,-1.65,0.033,0.99,0
0.67,0.0268,0,-1.675,0.0335,1.005,0
0.68,0.0272,0,-1.7,0.034,1.02,0
0.69,0.0276,0,-1.725,0.0345,1.035,0
0.7,0.028,0,-1.75,0.035,1.05,0
0.71,0.0284,0,-1.775,0.0355,1.065,0
0.72,0.0288,0,-1.8,0.036,1.08,0
0.73,0.0292,0,-1.825,0.0365,1.095,0
0.74,0.0296,0,-1.85,0.037,1.11,0
0.75,0.03,0,-1.875,0.0375,1.125,0
0.76,0.0304,0,-1.9,0.038,1.14,0
0.77,0.0308,0,-1.925,0.0385,1.155,0
0.78,0.0312,0,-1.95,0.039,1.17,0
0.79,0.0316,0,-1.975,0.0395,1.185,0
0.8,0.032,0,-2,0.04,1.2,0
0.81,0.0324,0,-2.025,0.0405,1.215,0
0.82,0.0328,0,-2.05,0.041,1.23,0
0.83,0.0332,0,-2.075,0.0415,1.245,0
0.84,0.0336,0,-2.1,0.042,1.26,0
0.85,0.034,0,-2.125,0.0425,1.275,0
0.86,0.0344,0,-2.15,0.043,1.29,0
0.87,0.0348,0,-2.175,0.0435,1.305,0
0.88,0.0352,0,-2.2,0.044,1.32,0
0.89,0.0356,0,-2.225,0.0445,1.335,0
0.9,0.036,0,-2.25,0.045,1.35,0
0.91,0.0364,0,-2.275,0.0455,1.365,0
0.92,0.0368,0,-2.3,0.046,1.38,0
0.93,0.0372,0,-2.325,0.0465,1.395,0
0.94,0.0376,0,-2.35,0.047,1.41,0
0.95,0.038,0,-2.375,0.0475,1.425,0
0.96,0.0384,0,-2.4,0.048,1.44,0
0.97,0.0388,0,-2.425,0.0485,1.455,0
0.98,0.0392,0,-2.45,0.049,1.47,0
0.99,0.0396,0,-2.475,0.0495,1.485,0
1,0.04,0,-2.5,0.05,1.5,0
